algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,32,0.03,0.0213144,6.02462,km1,6926,6581,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,32,0.03,0.0248668,5.94801,km1,6913,6592,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,32,0.03,0.0284192,6.38041,km1,6921,6588,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,32,0.03,0.0290112,5.96346,km1,6871,6540,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,32,0.03,0.0230906,6.36711,km1,6915,6594,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,32,0.03,0.026643,6.03236,km1,6886,6550,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,32,0.03,0.0284192,6.32337,km1,6884,6554,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,4,0.03,0.0224361,2.3904,km1,1242,1224,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,4,0.03,0.0225102,2.80671,km1,1237,1219,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,4,0.03,0.0211773,2.52014,km1,1240,1222,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,4,0.03,0.0211773,2.63955,km1,1240,1222,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,4,0.03,0.0181414,2.37087,km1,1245,1229,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,4,0.03,0.0151055,2.49236,km1,1242,1221,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,4,0.03,0.0225102,2.55289,km1,1237,1219,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,4,0.03,0.0213995,2.2222,km1,1237,1219,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,4,0.03,0.0225102,2.65025,km1,1237,1219,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,4,0.03,0.0225102,2.32514,km1,1237,1219,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,64,0.03,0.0295858,8.33408,km1,10516,9753,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,64,0.03,0.0295858,7.90041,km1,10349,9583,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,64,0.03,0.0295858,7.9178,km1,10583,9826,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,64,0.03,0.0295858,7.81123,km1,10449,9701,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,64,0.03,0.0295858,7.70137,km1,10599,9875,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,64,0.03,0.0295858,8.04426,km1,10528,9790,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,64,0.03,0.0295858,7.95968,km1,10438,9679,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,64,0.03,0.0295858,7.96059,km1,10609,9863,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,64,0.03,0.0295858,7.86788,km1,10444,9690,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,64,0.03,0.0295858,7.90202,km1,10479,9741,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,8,0.03,0.0171776,3.82577,km1,2584,2532,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,8,0.03,0.0217681,3.43018,km1,2576,2524,no
