algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,8,8,0.03,0.0204354,2.07294,km1,2571,2519,no
kKaHyPar-Eco,2D_54019_highK.mtx.hgr,no,no,9,8,0.03,0.0232489,2.05722,km1,2584,2532,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,0,128,0.03,0.0297984,332.78,km1,193417,150897,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,1,128,0.03,0.0297984,329.14,km1,193488,150674,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,2,128,0.03,0.0297984,338.706,km1,192311,150158,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,3,128,0.03,0.0297984,334.73,km1,192794,149994,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,4,128,0.03,0.0297984,337.203,km1,194023,150730,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,5,128,0.03,0.0297984,340.314,km1,194871,151605,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,6,128,0.03,0.0297984,331.067,km1,191801,149203,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,7,128,0.03,0.0297984,334.504,km1,195116,151922,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,8,128,0.03,0.0297984,336.116,km1,191230,149152,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,9,128,0.03,0.0297984,344.561,km1,193769,150969,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,0,16,0.03,0.0291491,146.966,km1,65907,60700,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,1,16,0.03,0.0285464,144.822,km1,64946,60052,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,2,16,0.03,0.029971,151.652,km1,65404,60366,no
kKaHyPar-Eco,3Dspectralwave2.mtx.hgr,no,no,3,16,0.03,0.0298066,147.279,km1,64771,60028,no
