algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,16,0.03,0.0290198,7.63505,cut,4611,4451,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,16,0.03,0.0290198,5.3987,cut,4676,4507,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,16,0.03,0.0251703,7.42806,cut,4549,4386,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,2,0.03,0.0228064,3.19606,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,2,0.03,0.0228064,2.02981,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,2,0.03,0.0228064,3.08378,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,2,0.03,0.0228064,1.87856,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,2,0.03,0.0228064,2.91663,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,2,0.03,0.0228064,2.74303,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,2,0.03,0.0228064,1.84749,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,2,0.03,0.0228064,2.92981,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,2,0.03,0.0228064,2.45017,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,2,0.03,0.0228064,2.62837,cut,460,460,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,32,0.03,0.0284192,6.76816,cut,7282,6865,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,32,0.03,0.0290112,6.82484,cut,7380,6877,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,32,0.03,0.0284192,9.56764,cut,7392,6921,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,32,0.03,0.0284192,6.80469,cut,7322,6849,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,32,0.03,0.0284192,9.57464,cut,7309,6841,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,32,0.03,0.0290112,6.67972,cut,7306,6871,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,32,0.03,0.0290112,6.73669,cut,7247,6823,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,32,0.03,0.0230906,6.92668,cut,7221,6786,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,32,0.03,0.0290112,9.62786,cut,7223,6848,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,32,0.03,0.0284192,9.34223,cut,7182,6779,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,4,0.03,0.0119956,4.59926,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,4,0.03,0.0119956,3.04954,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,4,0.03,0.0119956,4.62605,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,4,0.03,0.0119956,4.16373,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,4,0.03,0.0119956,4.24189,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,4,0.03,0.0119956,2.98574,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,4,0.03,0.0119956,3.00795,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,4,0.03,0.0119956,4.09635,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,4,0.03,0.0119956,4.38042,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,4,0.03,0.0119956,4.49559,cut,1242,1224,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,64,0.03,0.0295858,8.68551,cut,11130,10056,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,64,0.03,0.0295858,12.2346,cut,11076,10028,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,64,0.03,0.0295858,11.9927,cut,11106,9993,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,64,0.03,0.0295858,8.66509,cut,10985,9910,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,64,0.03,0.0295858,8.45424,cut,10932,10024,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,64,0.03,0.0272189,11.9544,cut,11132,10062,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,64,0.03,0.0260355,12.0094,cut,11218,10055,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,64,0.03,0.0284024,11.9417,cut,11206,10127,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,64,0.03,0.0260355,8.69253,cut,11044,9950,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,64,0.03,0.0295858,8.58162,cut,11026,9999,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,0,8,0.03,0.0188065,6.24238,cut,2592,2537,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,1,8,0.03,0.019695,4.45069,cut,2602,2547,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,8,0.03,0.019695,6.31037,cut,2602,2547,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,8,0.03,0.0285799,4.31919,cut,2603,2548,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,8,0.03,0.019695,4.4325,cut,2605,2550,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,8,0.03,0.019695,4.43482,cut,2605,2550,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,8,0.03,0.0285799,6.37858,cut,2606,2551,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,8,0.03,0.0188065,4.42554,cut,2606,2551,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,8,0.03,0.0188065,4.37616,cut,2605,2550,no
rKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,8,0.03,0.0188065,6.51342,cut,2609,2554,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,128,0.03,0.0297984,353.6,cut,367988,146562,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,128,0.03,0.0297984,256.906,cut,354142,147878,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,128,0.03,0.0297984,262.79,cut,361289,146281,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,128,0.03,0.0297984,256.608,cut,356528,147693,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,128,0.03,0.0297984,259.072,cut,352906,146848,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,128,0.03,0.0297984,367.597,cut,367525,147482,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,128,0.03,0.0297984,269.507,cut,348585,145940,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,8,128,0.03,0.0297984,261.173,cut,353470,147579,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,9,128,0.03,0.0297984,354.046,cut,350154,146614,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,16,0.03,0.0299162,297.887,cut,83149,61655,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,16,0.03,0.0252041,197.245,cut,84833,61395,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,16,0.03,0.0287655,289.321,cut,79635,60793,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,16,0.03,0.0299162,221.173,cut,85196,61066,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,4,16,0.03,0.0299162,384.751,cut,82341,60657,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,16,0.03,0.029971,268.755,cut,83840,61492,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,16,0.03,0.0299162,253.793,cut,84170,60900,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,16,0.03,0.029971,411.311,cut,82272,60820,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,8,16,0.03,0.029971,286.516,cut,86184,61911,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,9,16,0.03,0.029971,369.377,cut,87279,61772,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,2,0.03,0.0299992,130.685,cut,7209,7209,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,2,0.03,0.0188967,72.1589,cut,7268,7268,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,2,0.03,0.0291088,104.118,cut,6998,6998,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,2,0.03,0.0299855,92.846,cut,7059,7059,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,4,2,0.03,0.0299992,123.685,cut,7224,7224,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,2,0.03,0.00504096,72.3729,cut,7268,7268,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,2,0.03,0.029691,95.4836,cut,6969,6969,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,2,0.03,0.0292458,108.853,cut,6967,6967,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,8,2,0.03,0.0299992,101.833,cut,7265,7265,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,9,2,0.03,0.0299992,118.774,cut,7065,7065,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,32,0.03,0.0299145,224.451,cut,151602,85231,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,32,0.03,0.0299145,218.716,cut,151585,85127,no
rKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,32,0.03,0.0299145,317.108,cut,147611,86595,no
