"graph","k","epsilon","seed","km1","imbalance","totalPartitionTime","objective","algorithm","failed","timeout","cut"
"2D_54019_highK.mtx.hgr",8,0.03,1,2647,0.000148082333778,14.241,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,2,2649,0.0155486450466,14.328,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,3,2655,0.00903302236043,14.12,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,4,2657,0.00621945801866,14.059,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,5,2650,0.000148082333778,14.416,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,6,2653,0.00888494002665,14.258,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,7,2659,0.0154005627129,14.612,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,8,2659,0.002665482008,13.998,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,9,2646,0.00932918702799,14.053,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",8,0.03,10,2655,0.00103657633644,14.237,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,1,4608,0.0091797453361,19.005,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,2,4688,0.0091797453361,19.27,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,3,4619,0.00681077879775,18.745,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,4,4609,0.00651465798046,18.931,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,5,4659,0.00651465798046,19.066,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,6,4673,0.00829138288422,18.782,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,7,4644,0.00651465798046,18.843,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,8,4629,0.0136215575955,19.03,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,9,4621,0.00651465798046,18.817,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",16,0.03,10,4638,0.00740302043234,18.771,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,1,7329,0.0088809946714,24.332,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,2,7230,0.0088809946714,24.291,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,3,7224,0.0088809946714,24.568,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,4,7286,0.0106571936057,24.057,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,5,7296,0.0088809946714,24.368,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,6,7300,0.0088809946714,24.201,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,7,7245,0.00769686204855,24.398,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,8,7270,0.00710479573712,24.776,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,9,7225,0.01243339254,24.445,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",32,0.03,10,7295,0.0100651272943,24.156,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,1,11021,0.0094674556213,30.664,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,2,10864,0.00473372781065,31.114,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,3,10950,0.00828402366864,30.438,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,4,10953,0.0094674556213,31.301,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,5,11003,0.00828402366864,30.569,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,6,10916,0.0094674556213,31.472,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,7,10965,0.00828402366864,30.667,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,8,10990,0.0118343195266,30.802,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,9,10945,0.00473372781065,30.883,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",64,0.03,10,11087,0.00828402366864,30.628,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,1,16241,0.00709219858156,39.373,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,2,16096,0.00709219858156,39.134,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,3,16196,0.00709219858156,38.948,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,4,16165,0.00709219858156,39.264,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,5,16094,0.0141843971631,38.876,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,6,16083,0.00709219858156,39.474,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,7,16121,0.00709219858156,38.954,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,8,16105,0.00709219858156,39.554,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,9,16160,0.00709219858156,39.049,"km1","hMetis-R","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,10,16134,0.0141843971631,39.651,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,1,6975,0.028930714227,190.192,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,2,6975,0.0288622229528,190.342,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,3,6977,0.0298142516643,196.852,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,4,6977,0.029711514753,196.093,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,5,6975,0.028930714227,192.313,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,6,6977,0.0298758938111,192.217,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,7,6977,0.0288827703351,194.272,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,8,6975,0.0290060546286,196.657,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,9,7006,0.0296704199885,199.445,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,10,6999,0.0296498726062,197.056,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,1,21571,0.0113010602449,366.367,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,2,21571,0.0114928358127,364.609,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,3,21649,0.0141365989973,365.09,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,4,21684,0.0117804991644,364.8,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,5,21651,0.0140681077231,367.191,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,6,21651,0.011725706145,364.746,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,7,21672,0.0118215939289,368.104,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,8,21664,0.0116161201063,373.426,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,9,21560,0.0115202323224,369.839,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,10,21352,0.0272458288814,371.98,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,1,40710,0.0176707487466,521.635,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,2,41058,0.0211227089669,542.098,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,3,40810,0.0187392126243,525.708,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,4,40941,0.0172598011013,526.638,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,5,40840,0.0178899208241,526.932,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,6,40800,0.0174241801594,525.746,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,7,40677,0.018328264979,524.282,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,8,40821,0.0207117613216,525.351,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,9,41068,0.0150406838169,542.957,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",8,0.03,10,40683,0.02084874387,520.849,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,1,67463,0.0199989041696,673.831,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,2,67971,0.0196153635417,682.425,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,3,67838,0.0167662045915,677.672,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,4,67651,0.0230672291929,680.618,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,5,67476,0.0226288970467,684.538,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,6,68061,0.0213686921265,676.006,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,7,67280,0.0253684729604,683.044,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,8,68010,0.0188482822859,688.237,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,9,67143,0.0245466001863,673.211,"km1","hMetis-R","no","no",0
"3Dspectralwave2.mtx.hgr",16,0.03,10,67740,0.0241630595584,682.7,"km1","hMetis-R","no","no",0
