,graph,k,epsilon,km1,imbalance,objective,totalPartitionTime,algorithm,failed,timeout,cut
245,Chem97Zt.mtx.hgr,2,0.03,2,0.0,km1,0.055,HYPE,no,no,0
246,Chem97Zt.mtx.hgr,4,0.03,6,0.0,km1,0.054000000000000006,HYPE,no,no,0
247,Chem97Zt.mtx.hgr,8,0.03,14,0.0,km1,0.055,HYPE,no,no,0
248,Chem97Zt.mtx.hgr,16,0.03,29,0.0,km1,0.054000000000000006,HYPE,no,no,0
249,Chem97Zt.mtx.hgr,32,0.03,64,0.0,km1,0.054000000000000006,HYPE,no,no,0
250,Chem97Zt.mtx.hgr,64,0.03,119,0.0,km1,0.055,HYPE,no,no,0
251,Chem97Zt.mtx.hgr,128,0.03,257,0.0,km1,0.055,HYPE,no,no,0
252,circuit_3.mtx.hgr,2,0.03,6079,0.0,km1,0.043,HYPE,no,no,0
253,circuit_3.mtx.hgr,4,0.03,7661,0.0,km1,0.042,HYPE,no,no,0
254,circuit_3.mtx.hgr,8,0.03,8396,0.0,km1,0.043,HYPE,no,no,0
255,circuit_3.mtx.hgr,16,0.03,8948,0.0,km1,0.042,HYPE,no,no,0
256,circuit_3.mtx.hgr,32,0.03,9606,0.0,km1,0.042,HYPE,no,no,0
257,circuit_3.mtx.hgr,64,0.03,10365,0.0,km1,0.042,HYPE,no,no,0
258,circuit_3.mtx.hgr,128,0.03,11036,0.0,km1,0.04,HYPE,no,no,0
259,ckt11752_dc_1.mtx.hgr,2,0.03,13002,0.0,km1,0.266,HYPE,no,no,0
260,ckt11752_dc_1.mtx.hgr,4,0.03,21079,0.0,km1,0.271,HYPE,no,no,0
261,ckt11752_dc_1.mtx.hgr,8,0.03,26016,0.0,km1,0.26899999999999996,HYPE,no,no,0
262,ckt11752_dc_1.mtx.hgr,16,0.03,33543,0.0,km1,0.272,HYPE,no,no,0
263,ckt11752_dc_1.mtx.hgr,32,0.03,38441,0.0,km1,0.273,HYPE,no,no,0
264,ckt11752_dc_1.mtx.hgr,64,0.03,43018,0.0,km1,0.273,HYPE,no,no,0
265,ckt11752_dc_1.mtx.hgr,128,0.03,52408,0.0,km1,0.26899999999999996,HYPE,no,no,0
266,cnr-2000.mtx.hgr,2,0.03,22460,0.0,km1,2.005,HYPE,no,no,0
267,cnr-2000.mtx.hgr,4,0.03,55210,0.0,km1,1.9680000000000002,HYPE,no,no,0
268,cnr-2000.mtx.hgr,8,0.03,81709,0.0,km1,1.956,HYPE,no,no,0
269,cnr-2000.mtx.hgr,16,0.03,112095,0.0,km1,1.944,HYPE,no,no,0
270,cnr-2000.mtx.hgr,32,0.03,154210,0.0,km1,1.931,HYPE,no,no,0
271,cnr-2000.mtx.hgr,64,0.03,173709,0.0,km1,1.916,HYPE,no,no,0
272,cnr-2000.mtx.hgr,128,0.03,203104,0.0,km1,1.933,HYPE,no,no,0
273,conf5_4-8x8-05.mtx.hgr,2,0.03,3570,0.0,km1,0.8640000000000001,HYPE,no,no,0
274,conf5_4-8x8-05.mtx.hgr,4,0.03,25887,0.0,km1,0.8140000000000001,HYPE,no,no,0
275,conf5_4-8x8-05.mtx.hgr,8,0.03,63822,0.0,km1,0.879,HYPE,no,no,0
276,conf5_4-8x8-05.mtx.hgr,16,0.03,111750,0.0,km1,0.887,HYPE,no,no,0
277,conf5_4-8x8-05.mtx.hgr,32,0.03,177693,0.0,km1,0.904,HYPE,no,no,0
278,conf5_4-8x8-05.mtx.hgr,64,0.03,266736,0.0,km1,0.924,HYPE,no,no,0
279,conf5_4-8x8-05.mtx.hgr,128,0.03,344319,0.0,km1,0.9279999999999999,HYPE,no,no,0
280,copter1.mtx.hgr,2,0.03,8750,0.0,km1,0.102,HYPE,no,no,0
281,copter1.mtx.hgr,4,0.03,14140,0.0,km1,0.10300000000000001,HYPE,no,no,0
