"graph","k","epsilon","seed","objective","km1","imbalance","totalPartitionTime","algorithm","failed","timeout","cut"
"2D_54019_highK.mtx.hgr",128,0.03,4,"kMinusOne",16338,0,3.888,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,5,"kMinusOne",16411,0,3.88,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,6,"kMinusOne",16289,0,3.884,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,7,"kMinusOne",16241,0,3.846,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,8,"kMinusOne",16253,0,3.89,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,9,"kMinusOne",16276,0,3.941,"PaToH-Q","no","no",0
"2D_54019_highK.mtx.hgr",128,0.03,10,"kMinusOne",16366,0.00236406619385,4.14,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,1,"kMinusOne",7203,0.0198693186488,11.182,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,2,"kMinusOne",7166,0.0199446590504,10.932,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,3,"kMinusOne",7157,0.0199035642859,10.919,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,4,"kMinusOne",7149,0.019985753815,10.316,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,5,"kMinusOne",7268,0.018896742555,10.901,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,6,"kMinusOne",7352,0.019985753815,10.843,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,7,"kMinusOne",7441,0.0199994520698,7.18,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,8,"kMinusOne",7205,0.0199994520698,10.924,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,9,"kMinusOne",7282,0.0199994520698,10.624,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",2,0.03,10,"kMinusOne",7268,0.018896742555,10.498,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,1,"kMinusOne",21565,0.0139448234295,15.759,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,2,"kMinusOne",21643,0.0113284567546,19.128,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,3,"kMinusOne",21685,0.00897235692173,13.463,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,4,"kMinusOne",21726,0.0145886414071,15.374,"PaToH-Q","no","no",0
"3Dspectralwave2.mtx.hgr",4,0.03,5,"kMinusOne",21536,0.01346538451,19.201,"PaToH-Q","no","no",0
